,input,premise,hypothesis,target_scores
111,Fact: Ed warranted that Mary had a point. Q: Did Mary have a point?,Fact: Ed warranted that Mary had a point, Q: Did Mary have a point?,yes
112,Fact: John did not allow there to be balloons. Q: Were balloons there?,Fact: John did not allow there to be balloons, Q: Were balloons there?,no
113,Fact: John could bear to leave. Q: Did John leave?,Fact: John could bear to leave, Q: Did John leave?,yes
114,Fact: It had not begun to rain. Q: Was it raining?,Fact: It had not begun to rain, Q: Was it raining?,no
115,Fact: Ed bothered to cry. Q: Did Ed cry?,Fact: Ed bothered to cry, Q: Did Ed cry?,yes
116,Fact: Ed didn't come to know about the story. Q: Did Ed know the story?,Fact: Ed didn't come to know about the story, Q: Did Ed know the story?,no
117,Fact: They didn't condemn him to die. Q: Did he die?,Fact: They didn't condemn him to die, Q: Did he die?,no
118,Fact: They did not condescend to go. Q: Did they go?,Fact: They did not condescend to go, Q: Did they go?,no
119,Fact: Ed didn't consent to go. Q: Did Ed go?,Fact: Ed didn't consent to go, Q: Did Ed go?,no
120,Fact: Ed didn't convince Mary to go. Q: Did Mary go?,Fact: Ed didn't convince Mary to go, Q: Did Mary go?,no
121,Fact: Ed didn't dare to speak. Q: Did Ed speak?,Fact: Ed didn't dare to speak, Q: Did Ed speak?,no
122,Fact: Ed deigned to sign the book. Q: Did Ed sign the book?,Fact: Ed deigned to sign the book, Q: Did Ed sign the book?,yes
123,Fact: The grant didn't enable Mary to write. Q: Did Mary write?,Fact: The grant didn't enable Mary to write, Q: Did Mary write?,no
124,Fact: Ed didn't fail to open the door. Q: Did Ed open the door?,Fact: Ed didn't fail to open the door, Q: Did Ed open the door?,yes
125,Fact: Ed didn't forget to go to the doctor. Q: Did Ed go to the doctor?,Fact: Ed didn't forget to go to the doctor, Q: Did Ed go to the doctor?,yes
126,Fact: Ed didn't get it to rain sparks. Q: Did it rain sparks?,Fact: Ed didn't get it to rain sparks, Q: Did it rain sparks?,no
127,Fact: Ed didn't get to write to the doctor. Q: Did Ed write to the doctor?,Fact: Ed didn't get to write to the doctor, Q: Did Ed write to the doctor?,no
128,Fact: Ed did not go on to become famous. Q: Did Ed become famous?,Fact: Ed did not go on to become famous, Q: Did Ed become famous?,no
129,Fact: Ed did not grow to like Mary. Q: Did Ed like Mary?,Fact: Ed did not grow to like Mary, Q: Did Ed like Mary?,no
130,Fact: John didn't have Mary leave. Q: Did Mary leave?,Fact: John didn't have Mary leave, Q: Did Mary leave?,no
131,Fact: Ed didn't know to pay attention. Q: Did Ed pay attention?,Fact: Ed didn't know to pay attention, Q: Did Ed pay attention?,no
132,Fact: John didn't let Mary leave. Q: Did Mary leave?,Fact: John didn't let Mary leave, Q: Did Mary leave?,no
133,Fact: Ed didn't live to draw. Q: Did Ed draw?,Fact: Ed didn't live to draw, Q: Did Ed draw?,no
134,Fact: Ed didn't manage to leave. Q: Did Ed leave?,Fact: Ed didn't manage to leave, Q: Did Ed leave?,no
135,Fact: Ed didn't neglect to call Mary. Q: Did Ed call Mary?,Fact: Ed didn't neglect to call Mary, Q: Did Ed call Mary?,yes
136,Fact: Ed didn't persuade Mary to go. Q: Did Mary go?,Fact: Ed didn't persuade Mary to go, Q: Did Mary go?,no
137,Fact: Ed didn't refrain to comment. Q: Did Ed comment?,Fact: Ed didn't refrain to comment, Q: Did Ed comment?,yes
138,Fact: Ed did not relearn to walk. Q: Did Ed walk?,Fact: Ed did not relearn to walk, Q: Did Ed walk?,no
139,Fact: Ed didn't remember to go. Q: Did Ed go?,Fact: Ed didn't remember to go, Q: Did Ed go?,no
140,Fact: Canals didn't serve to convey traffic through the city. Q: Did canals convey traffic through the city?,Fact: Canals didn't serve to convey traffic through the city, Q: Did canals convey traffic through the city?,no
141,Fact: It started to rain. Q: Did it rain?,Fact: It started to rain, Q: Did it rain?,yes
142,Fact: John didn't start in to write the novel. Q: Did John write the novel?,Fact: John didn't start in to write the novel, Q: Did John write the novel?,no
143,Fact: Ed stayed to eat. Q: Did Ed eat?,Fact: Ed stayed to eat, Q: Did Ed eat?,yes
144,Fact: Bill didn't trouble Ed to go to the store. Q: Did Ed go to the store?,Fact: Bill didn't trouble Ed to go to the store, Q: Did Ed go to the store?,no
145,Fact: Ed hadn't troubled to go. Q: Did Ed go?,Fact: Ed hadn't troubled to go, Q: Did Ed go?,no
146,Fact: Ed didn't turn out to drink. Q: Did Ed drink?,Fact: Ed didn't turn out to drink, Q: Did Ed drink?,no
147,Fact: Ed never used to drink. Q: Did Ed drink?,Fact: Ed never used to drink, Q: Did Ed drink?,no
148,Fact: Ed didn't wake up to find that breakfast had arrived. Q: Did breakfast arrive?,Fact: Ed didn't wake up to find that breakfast had arrived, Q: Did breakfast arrive?,no
